Team,Generation,Best_Fitness,Avg_Fitness,Epoch,Test
0, 45, 117, 337.054, 1, 0
0, 46, 117, 330.632, 1, 0
0, 47, 117, 329.798, 1, 0
0, 48, 115, 334.624, 1, 0
0, 49, 117, 320.208, 1, 0
1, 0, 94, 300.196, 1, 0
1, 1, 87, 270.476, 1, 0
1, 2, 90, 271.032, 1, 0
1, 3, 90, 259.428, 1, 0
1, 4, 89, 279.284, 1, 0
1, 5, 94, 261.632, 1, 0
1, 6, 89, 288.604, 1, 0
1, 7, 23, 273.652, 1, 0
1, 8, 22, 255.26, 1, 0
1, 9, 22, 274.672, 1, 0
1, 10, 22, 292.508, 1, 0
1, 11, 17, 277.36, 1, 0
1, 12, 21, 261.428, 1, 0
1, 13, 22, 309.416, 1, 0
1, 14, 22, 300.596, 1, 0
1, 15, 38, 317.268, 1, 0
1, 16, 24, 296.564, 1, 0
1, 17, 24, 264.452, 1, 0
1, 18, 24, 235.668, 1, 0
1, 19, 24, 241.46, 1, 0
1, 20, 22, 224.524, 1, 0
1, 21, 24, 227.784, 1, 0
1, 22, 24, 260.632, 1, 0
1, 23, 22, 279.4, 1, 0
1, 24, 28, 319.412, 1, 0
1, 25, 28, 244.052, 1, 0
1, 26, 24, 222.016, 1, 0
1, 27, 24, 233.312, 1, 0
1, 28, 22, 250.396, 1, 0
1, 29, 24, 239.82, 1, 0
1, 30, 24, 250.716, 1, 0
1, 31, 24, 224.372, 1, 0
1, 32, 24, 245.504, 1, 0
1, 33, 24, 236.04, 1, 0
1, 34, 24, 250.616, 1, 0
1, 35, 24, 213.296, 1, 0
1, 36, 24, 216.752, 1, 0
1, 37, 24, 220.12, 1, 0
1, 38, 24, 214.512, 1, 0
1, 39, 24, 190.5, 1, 0
1, 40, 22, 186.4, 1, 0
1, 41, 24, 213.396, 1, 0
1, 42, 24, 241.612, 1, 0
1, 43, 22, 208.984, 1, 0
1, 44, 24, 198.744, 1, 0
1, 45, 24, 219.16, 1, 0
1, 46, 24, 190.712, 1, 0
1, 47, 22, 245.816, 1, 0
1, 48, 19, 240.52, 1, 0
1, 49, 19, 244.82, 1, 0
0, 0, 120, 613.55, 2, 0
0, 1, 120, 475.772, 2, 0
0, 2, 121, 367.514, 2, 0
0, 3, 120, 355.746, 2, 0
0, 4, 120, 361.862, 2, 0
0, 5, 120, 356.544, 2, 0
0, 6, 119, 351.292, 2, 0
0, 7, 120, 363.872, 2, 0
0, 8, 120, 357.484, 2, 0
0, 9, 119, 345.828, 2, 0
0, 10, 119, 351.942, 2, 0
0, 11, 118, 368.57, 2, 0
0, 12, 116, 354.424, 2, 0
0, 13, 115, 380.67, 2, 0
0, 14, 115, 366.958, 2, 0
0, 15, 116, 343.422, 2, 0
0, 16, 116, 353.034, 2, 0
0, 17, 116, 355.906, 2, 0
0, 18, 117, 367.138, 2, 0
0, 19, 119, 346.69, 2, 0
0, 20, 118, 337.16, 2, 0
0, 21, 119, 338.526, 2, 0
0, 22, 118, 330.296, 2, 0
0, 23, 116, 335.394, 2, 0
0, 24, 118, 322.084, 2, 0
0, 25, 118, 319.63, 2, 0
0, 26, 117, 311.174, 2, 0
0, 27, 119, 334.884, 2, 0
0, 28, 118, 327.582, 2, 0
0, 29, 107, 320.752, 2, 0
0, 30, 114, 314.978, 2, 0
0, 31, 118, 315.578, 2, 0
0, 32, 114, 318.372, 2, 0
0, 33, 111, 307.088, 2, 0
0, 34, 110, 304.91, 2, 0
0, 35, 109, 320.214, 2, 0
0, 36, 109, 309.986, 2, 0
0, 37, 107, 306.296, 2, 0
0, 38, 108, 302.334, 2, 0
0, 39, 109, 311.104, 2, 0
0, 40, 109, 291.748, 2, 0
0, 41, 109, 298.768, 2, 0
0, 42, 101, 294.402, 2, 0
0, 43, 108, 311.528, 2, 0
0, 44, 109, 306.574, 2, 0
0, 45, 107, 314.896, 2, 0
0, 46, 109, 323.916, 2, 0
0, 47, 104, 310.202, 2, 0
0, 48, 104, 314.422, 2, 0
0, 49, 103, 304.526, 2, 0
1, 0, 40, 418.076, 2, 0
1, 1, 40, 374.396, 2, 0
1, 2, 40, 351.252, 2, 0
1, 3, 40, 353.916, 2, 0
1, 4, 40, 357.28, 2, 0
1, 5, 40, 355.836, 2, 0
1, 6, 40, 322.356, 2, 0
1, 7, 40, 318.692, 2, 0
1, 8, 40, 301.044, 2, 0
1, 9, 40, 302.26, 2, 0
1, 10, 40, 286.82, 2, 0
1, 11, 40, 314.908, 2, 0
1, 12, 40, 284.276, 2, 0
1, 13, 40, 283.224, 2, 0
1, 14, 40, 280.456, 2, 0
1, 15, 39, 293.772, 2, 0
1, 16, 40, 293.884, 2, 0
1, 17, 40, 276.136, 2, 0
1, 18, 40, 261.76, 2, 0
1, 19, 40, 281.352, 2, 0
1, 20, 39, 313.248, 2, 0
1, 21, 40, 306.656, 2, 0
1, 22, 40, 308.6, 2, 0
1, 23, 40, 316.276, 2, 0
1, 24, 40, 305.164, 2, 0
1, 25, 40, 312.056, 2, 0
1, 26, 40, 300.36, 2, 0
1, 27, 40, 284.34, 2, 0
1, 28, 40, 276.512, 2, 0
1, 29, 40, 303.148, 2, 0
1, 30, 40, 295.656, 2, 0
1, 31, 40, 305.02, 2, 0
1, 32, 40, 324.264, 2, 0
1, 33, 40, 306.236, 2, 0
1, 34, 40, 244.812, 2, 0
1, 35, 40, 267.252, 2, 0
1, 36, 40, 292.088, 2, 0
1, 37, 40, 266.144, 2, 0
1, 38, 40, 209.236, 2, 0
1, 39, 40, 248.388, 2, 0
1, 40, 40, 227.392, 2, 0
1, 41, 40, 223.236, 2, 0
1, 42, 40, 232.04, 2, 0
1, 43, 40, 278.344, 2, 0
1, 44, 39, 251.08, 2, 0
1, 45, 40, 299.932, 2, 0
1, 46, 40, 268.664, 2, 0
1, 47, 35, 249.088, 2, 0
1, 48, 35, 282.188, 2, 0
1, 49, 40, 255.036, 2, 0
0, 0, 113, 564.246, 3, 0
0, 1, 115, 401.336, 3, 0
0, 2, 115, 338.344, 3, 0
0, 3, 113, 321.546, 3, 0
0, 4, 114, 322.534, 3, 0
0, 5, 113, 317.342, 3, 0
0, 6, 113, 332.598, 3, 0
0, 7, 113, 301.264, 3, 0
0, 8, 113, 320.332, 3, 0
0, 9, 109, 297.48, 3, 0
0, 10, 110, 306.256, 3, 0
0, 11, 109, 309.974, 3, 0
